Index	Index	ICD10	Score	P-value
4149	4149	R060	712423.2160549733	0.0
4165	4165	R098	292758.8424576961	0.0
4338	4338	R798	270202.66852275014	0.0
4374	4374	R91	229746.16878892653	0.0
1095	1095	E559	201356.1664022935	0.0
1870	1870	I509	184262.00461605788	0.0
4387	4387	R943	168469.04245703592	0.0
3505	3505	N179	151299.58235631604	0.0
931	931	D696	149762.1067249603	0.0
1735	1735	I10	144309.268223477	0.0
2155	2155	J90	142192.32838501935	0.0
2182	2182	J981	134975.0637479565	0.0
4161	4161	R090	129516.12615967178	0.0
1129	1129	E785	128549.22149399007	0.0
4148	4148	R05	119149.83044580532	0.0
1876	1876	I517	108281.68342432665	0.0
2058	2058	J189	100002.46322724261	0.0
1147	1147	E877	97944.56088053813	0.0
2006	2006	I959	93055.411244172	0.0
1701	1701	H919	90844.70643279383	0.0
2143	2143	J81	90351.92613423664	0.0
1767	1767	I251	88858.32690764916	0.0
4294	4294	R609	87911.19211578683	0.0
68	68	A419	87255.43411574814	0.0
1141	1141	E871	87255.21252228356	0.0
1142	1142	E872	85587.39368075773	0.0
3354	3354	M8580	82870.43778911782	0.0
1146	1146	E876	80132.32892120112	0.0
3511	3511	N189	79797.2422405623	0.0
1139	1139	E86	79425.66839414391	0.0
4134	4134	R000	73340.92618018438	0.0
4292	4292	R600	72784.29515793713	0.0
2253	2253	K219	72506.64246232787	0.0
1860	1860	I489	72282.76557887468	0.0
4316	4316	R730	70107.10650331895	0.0
4319	4319	R748	68239.84927253019	0.0
1145	1145	E875	68060.45196831519	0.0
4278	4278	R509	67595.07101146941	0.0
1739	1739	I129	66174.44983364541	0.0
4242	4242	R418	63912.23941620586	0.0
4170	4170	R11	63103.72303250359	0.0
4136	4136	R002	61987.62951384566	0.0
2375	2375	K590	61168.1972916549	0.0
2184	2184	J984	60451.990218818646	0.0
3508	3508	N183	58269.32850212072	0.0
1494	1494	G934	57582.32735962726	0.0
4157	4157	R068	57539.39707943815	0.0
4243	4243	R42	55048.881305215415	0.0
1406	1406	G470	54509.63039150551	0.0
1867	1867	I498	53727.349804073645	0.0
3339	3339	M7989	52272.263970926804	0.0
1008	1008	E119	51732.721675219196	0.0
2123	2123	J449	51471.449983007864	0.0
4318	4318	R740	51122.539481898886	0.0
4167	4167	R101	50350.613969206956	0.0
3331	3331	M7960	49668.28868290981	0.0
1135	1135	E834	49562.21786795688	0.0
4193	4193	R21	49411.35356857629	0.0
2175	2175	J9600	48637.16825899941	0.0
1736	1736	I110	48297.28287798707	0.0
4389	4389	R945	47874.474717474266	0.0
3533	3533	N289	47173.02835355854	0.0
3501	3501	N170	47160.93566556481	0.0
4179	4179	R18	46031.37162442461	0.0
889	889	D509	45586.15218971666	0.0
3560	3560	N390	44119.75060172645	0.0
4280	4280	R53	43202.15768932896	0.0
4339	4339	R799	41267.86052856245	0.0
2176	2176	J9601	41092.06159893386	0.0
1230	1230	F329	40584.96228466328	0.0
1878	1878	I519	40448.13805061571	0.0
2463	2463	K768	40386.5262000408	0.0
4335	4335	R788	40333.35930473882	0.0
922	922	D631	40274.13389608917	0.0
4306	4306	R652	39941.31524631131	0.0
920	920	D62	39857.02904626796	0.0
972	972	E039	39752.511518430925	0.0
2698	2698	L819	38619.85890107485	0.0
1765	1765	I248	38604.24764771177	0.0
4300	4300	R634	38530.82102834971	0.0
1136	1136	E835	38338.879307486626	0.0
1855	1855	I480	38097.27199871193	0.0
2863	2863	M1990	38035.84537868812	0.0
4173	4173	R14	37722.20282338299	0.0
923	923	D638	37040.47824313876	0.0
1868	1868	I499	36660.981716265705	0.0
1779	1779	I272	36573.18635417976	0.0
1409	1409	G473	36347.20952692089	0.0
2029	2029	J069	35958.601690474046	0.0
1117	1117	E669	35807.31882082551	0.0
1623	1623	H524	35272.014110634205	0.0
1006	1006	E116	34949.51366972439	0.0
1083	1083	E46	34693.999123404225	0.0
4311	4311	R688	34246.23993306098	0.0
4317	4317	R739	34016.59781305664	0.0
1777	1777	I270	33477.39007640058	0.0
2180	2180	J9691	33316.426169640275	0.0
1852	1852	I471	33123.49601918836	0.0
1853	1853	I472	33006.75233062592	0.0
2742	2742	L989	32811.69739184503	0.0
1566	1566	H269	32512.536264425038	0.0
1693	1693	H905	32465.784545502018	0.0
1740	1740	I130	32003.554200323004	0.0
2133	2133	J690	31853.43420161647	0.0
962	962	D899	31489.56923392177	0.0
1798	1798	I340	30892.312148601774	0.0
1559	1559	H251	30888.49111409832	0.0
2515	2515	K922	30803.157006341426	0.0
2699	2699	L82	30612.867962312022	0.0
1458	1458	G629	30166.501636091885	0.0
4229	4229	R35	30072.83630885966	0.0
1780	1780	I278	30031.10076618809	0.0
4238	4238	R410	29894.75897617731	0.0
901	901	D539	29849.431433515874	0.0
4277	4277	R508	29825.401372577006	0.0
1250	1250	F419	29766.07807890109	0.0
1768	1768	I252	29550.049095520088	0.0
2305	2305	K318	28778.84452480058	0.0
2960	2960	M2555	28051.73882032063	0.0
4225	4225	R31	27837.04391361649	0.0
2464	2464	K769	27567.725804404916	0.0
1002	1002	E112	27541.31535752144	0.0
1691	1691	H903	27515.39855498953	0.0
2416	2416	K648	27493.357899730498	0.0
2956	2956	M2551	27447.936207484065	0.0
2368	2368	K573	27326.394639424827	0.0
1247	1247	F411	27192.407808780536	0.0
1832	1832	I429	27064.709590586863	0.0
1831	1831	I428	26337.990310446377	0.0
1803	1803	I350	26326.24696860446	0.0
2514	2514	K921	26018.19777648188	0.0
4151	4151	R062	25910.23159508421	0.0
930	930	D695	25648.447759043273	0.0
1910	1910	I652	25450.052965183735	0.0
3565	3565	N40	25408.877607603103	0.0
2961	2961	M2556	25188.488900283646	0.0
4227	4227	R33	25076.70191228873	0.0
4187	4187	R198	25007.045225168407	0.0
4340	4340	R80	24928.866417807072	0.0
1650	1650	H612	24869.766277071503	0.0
2122	2122	J441	24782.184169316697	0.0
1756	1756	I214	24766.274102386178	0.0
2174	2174	J958	24538.776514121975	0.0
4305	4305	R651	24485.149921802902	0.0
4135	4135	R001	24463.09271093972	0.0
4222	4222	R300	24415.652259866438	0.0
4296	4296	R630	23918.289944795113	0.0
302	302	B968	23737.359960880538	0.0
1857	1857	I482	23493.212037489116	0.0
2467	2467	K802	23280.306282945658	0.0
