Index	Index	ICD10	Score	P-value
3507	3507	N182	23178.04363644796	0.0
3512	3512	N19	22973.7117891411	0.0
2179	2179	J9690	22905.466126863586	0.0
2449	2449	K746	22782.77867870603	0.0
2306	2306	K319	22609.384857005174	0.0
2693	2693	L814	22603.73889972564	0.0
4299	4299	R633	22449.573103561168	0.0
2294	2294	K297	22393.621375697916	0.0
3337	3337	M7967	22156.78744271459	0.0
4282	4282	R55	22134.783398719337	0.0
4379	4379	R933	22118.33097617308	0.0
4279	4279	R51	21950.78708636047	0.0
2187	2187	J988	21571.018797278637	0.0
2251	2251	K20	21221.626705464372	0.0
4214	4214	R268	21143.410542791054	0.0
1807	1807	I359	20967.08949697235	0.0
1126	1126	E782	20932.645260426103	0.0
4381	4381	R935	20733.77573554232	0.0
2632	2632	L570	20436.732314112855	0.0
2589	2589	L299	20425.210394301303	0.0
4284	4284	R570	20383.25506936956	0.0
1738	1738	I120	20191.874558234183	0.0
1079	1079	E43	20160.417818242455	0.0
2461	2461	K766	20153.17487290198	0.0
2523	2523	L039	20086.46817832341	0.0
2838	2838	M171	19962.761733645802	0.0
722	722	D126	19937.593123431325	0.0
886	886	D500	19888.845208569244	0.0
1776	1776	I269	19633.50140660078	0.0
3509	3509	N184	19628.64301904898	0.0
1148	1148	E878	19569.515832558056	0.0
1907	1907	I639	19538.388666698334	0.0
4287	4287	R579	19473.285883313012	0.0
1140	1140	E870	19429.933223775482	0.0
4141	4141	R030	19396.580472420595	0.0
2089	2089	J348	19317.989322120935	0.0
2333	2333	K449	19187.15432234033	0.0
1632	1632	H538	19030.818817604522	0.0
4312	4312	R69	18942.056625369223	0.0
1717	1717	I059	18875.018768122467	0.0
1144	1144	E874	18843.61634891805	0.0
4226	4226	R32	18755.402566890156	0.0
1955	1955	I739	18608.38280821361	0.0
3136	3136	M4781	18514.214737295988	0.0
4176	4176	R161	18377.979493003346	0.0
4241	4241	R413	18327.84188599055	0.0
2438	2438	K720	18242.433770447857	0.0
4185	4185	R195	18210.495717981423	0.0
1795	1795	I319	17983.845676859637	0.0
4390	4390	R946	17975.576070798616	0.0
1856	1856	I481	17593.818112664052	0.0
4169	4169	R103	17328.123786326538	0.0
2955	2955	M2550	17303.25506168478	0.0
2005	2005	I958	17278.579133429055	0.0
2111	2111	J40	17253.344586828098	0.0
1143	1143	E873	17251.063840384373	0.0
1773	1773	I258	17156.681272630463	0.0
3228	3228	M6281	17122.863541605566	0.0
66	66	A415	16981.480685037044	0.0
2408	2408	K638	16943.334387593357	0.0
1091	1091	E538	16871.06639519986	0.0
1489	1489	G92	16835.054224012078	0.0
1796	1796	I330	16775.09230389698	0.0
4208	4208	R252	16692.798802730005	0.0
1823	1823	I420	16604.268903873603	0.0
4228	4228	R34	16590.742822394448	0.0
2487	2487	K838	16535.889993345238	0.0
2456	2456	K760	16404.547306694596	0.0
4145	4145	R042	16370.80657269689	0.0
2354	2354	K529	16229.120675428421	0.0
1004	1004	E114	16170.721638194507	0.0
4291	4291	R599	16134.494479910041	0.0
882	882	D485	15976.897956458419	0.0
1848	1848	I458	15962.052989485295	0.0
4304	4304	R64	15889.949927676324	0.0
1255	1255	F432	15808.3734601551	0.0
4386	4386	R942	15774.330345353006	0.0
183	183	B259	15759.495396565144	0.0
2407	2407	K635	15759.179361487058	0.0
2440	2440	K729	15618.955184247852	0.0
1991	1991	I872	15584.207667250885	0.0
4376	4376	R930	15582.506870392128	0.0
1771	1771	I255	15477.682453711333	0.0
310	310	B99	15454.758168967415	0.0
85	85	A498	15454.628999848639	0.0
10	10	A047	15406.800693891815	0.0
211	211	B370	15105.97057724452	0.0
4388	4388	R944	15019.892094896513	0.0
4159	4159	R071	14918.438218854248	0.0
1793	1793	I313	14712.327167628813	0.0
2003	2003	I951	14688.14720680058	0.0
1007	1007	E118	14476.19257167056	0.0
4384	4384	R938	14466.87194813806	0.0
2236	2236	K123	14453.163269175917	0.0
1705	1705	H931	14419.754207659917	0.0
309	309	B978	14281.01709521622	0.0
4175	4175	R160	14253.285607638803	0.0
3510	3510	N185	14092.770100829874	0.0
4160	4160	R072	13875.5508816499	0.0
1239	1239	F341	13777.996935157427	0.0
2596	2596	L309	13766.670787125442	0.0
3334	3334	M7964	13763.721700863649	0.0
2056	2056	J181	13744.660890679415	0.0
4221	4221	R296	13643.543804034618	0.0
2479	2479	K828	13643.036186263456	0.0
287	287	B952	13603.00662438937	0.0
4301	4301	R635	13598.128475646205	0.0
200	200	B351	13575.927302086362	0.0
1806	1806	I358	13544.85959128436	0.0
4235	4235	R400	13507.836492852997	0.0
4293	4293	R601	13408.383461942753	0.0
3531	3531	N281	13357.217095392514	0.0
2146	2146	J841	13252.028659396	0.0
4324	4324	R768	13199.070738769184	0.0
2120	2120	J439	13153.466184791416	0.0
2397	2397	K625	13054.363155921119	0.0
4137	4137	R008	12958.336598318152	0.0
1450	1450	G589	12867.355532109237	0.0
2575	2575	L259	12751.497378701417	0.0
2081	2081	J329	12726.249944858768	0.0
2522	2522	L029	12709.71054036069	0.0
1751	1751	I209	12688.880404584126	0.0
2010	2010	I99	12685.2161432945	0.0
2853	2853	M1904	12684.575294409919	0.0
175	175	B182	12658.544092275406	0.0
3524	3524	N258	12608.456681299082	0.0
1850	1850	I469	12589.107593539104	0.0
645	645	C920	12544.426425245412	0.0
1621	1621	H521	12530.611148505637	0.0
971	971	E038	12526.173422601252	0.0
3161	3161	M503	12502.089398338314	0.0
2534	2534	L089	12449.593065518622	0.0
1588	1588	H409	12439.251563643795	0.0
4190	4190	R202	12417.917299879313	0.0
2242	2242	K137	12394.483611225158	0.0
2296	2296	K299	12355.33633699245	0.0
4196	4196	R222	12308.135745044192	0.0
774	774	D229	12286.605156364692	0.0
1842	1842	I451	12197.13971652683	0.0
2161	2161	J938	12157.232064869448	0.0
4315	4315	R71	12113.238715443113	0.0
1113	1113	E660	12101.742823442653	0.0
783	783	D239	12087.521565117295	0.0
296	296	B962	12064.631849663534	0.0
2119	2119	J438	12048.240101095638	0.0
4378	4378	R932	11956.328094216211	0.0
1869	1869	I501	11841.765335055929	0.0
4254	4254	R451	11825.233604277444	0.0
888	888	D508	11738.50917062536	0.0
2124	2124	J47	11722.318536547044	0.0
3709	3709	N951	11709.611215612304	0.0
1411	1411	G479	11647.206358168363	0.0
4188	4188	R200	11588.651936879942	0.0
1932	1932	I7021	11571.733805911264	0.0
870	870	D469	11552.488029477285	0.0
4232	4232	R391	11475.4048071187	0.0
4289	4289	R590	11397.814279966044	0.0
2142	2142	J80	11301.076185055867	0.0
2162	2162	J939	11234.085596984845	0.0
2156	2156	J91	11183.890541711375	0.0
292	292	B957	11134.472401898523	0.0
2178	2178	J9611	11024.364710648482	0.0
4178	4178	R17	11010.299751178156	0.0
4143	4143	R040	11001.033097301603	0.0
2177	2177	J9610	10930.867499593365	0.0
4350	4350	R829	10916.284768324029	0.0
1742	1742	I132	10909.452557543475	0.0
580	580	C780	10904.334582587502	0.0
4194	4194	R220	10894.912061724175	0.0
2021	2021	J029	10881.857217889148	0.0
1904	1904	I635	10828.86923089605	0.0
1021	1021	E162	10716.719997196453	0.0
2417	2417	K649	10712.067529533031	0.0
921	921	D630	10711.215521732103	0.0
771	771	D225	10699.44829174492	0.0
1633	1633	H539	10685.14973147617	0.0
2513	2513	K920	10646.018180127852	0.0
919	919	D619	10640.642270417035	0.0
755	755	D180	10634.3762631127	0.0
252	252	B49	10590.191806333827	0.0
4385	4385	R940	10580.905489674587	0.0
3710	3710	N952	10510.118479087741	0.0
4383	4383	R937	10501.303654170473	0.0
1931	1931	I7020	10479.081339891358	0.0
3532	3532	N288	10453.209360586721	0.0
1866	1866	I495	10449.899677647858	0.0
636	636	C900	10365.345777081837	0.0
1774	1774	I259	10345.872542856725	0.0
295	295	B961	10343.043004643507	0.0
1992	1992	I878	10304.864548189724	0.0
1864	1864	I493	10278.631136730899	0.0
1925	1925	I678	10158.733490589719	0.0
1249	1249	F418	10143.746772338669	0.0
389	389	C189	10138.419362018882	0.0
3167	3167	M5137	10136.175263375857	0.0
1017	1017	E139	10107.827624878402	0.0
2364	2364	K567	10026.563510123962	0.0
3548	3548	N328	9992.477862441181	0.0
1748	1748	I200	9972.84789486051	0.0
924	924	D65	9967.956245411193	0.0
2837	2837	M170	9954.70948917731	0.0
2252	2252	K210	9915.157197922525	0.0
4272	4272	R490	9870.203127950705	0.0
2293	2293	K296	9858.206885306126	0.0
594	594	C795	9819.477226273739	0.0
153	153	B029	9749.734262274405	0.0
4286	4286	R578	9747.718853626875	0.0
1985	1985	I850	9747.215431081266	0.0
2709	2709	L899	9736.762353030615	0.0
1402	1402	G459	9694.128056884705	0.0
2292	2292	K295	9670.408172180123	0.0
1109	1109	E639	9643.908832909974	0.0
202	202	B353	9631.106952822634	0.0
1498	1498	G938	9622.733519735872	0.0
1133	1133	E831	9612.671946871014	0.0
4195	4195	R221	9591.970953531527	0.0
1620	1620	H520	9588.767843038324	0.0
299	299	B965	9582.272125294374	0.0
4288	4288	R58	9536.954381760595	0.0
1818	1818	I38	9532.004656688041	0.0
3513	3513	N200	9514.480308913891	0.0
81	81	A490	9514.051320322576	0.0
4234	4234	R398	9388.73936866632	0.0
3346	3346	M8448	9373.114867923607	0.0
197	197	B348	9321.892385798965	0.0
1174	1174	F101	9302.840552808973	0.0
2148	2148	J849	9234.555439920563	0.0
2234	2234	K121	9203.186721303276	0.0
1840	1840	I447	9147.620793843276	0.0
3562	3562	N394	9140.9131707831	0.0
2034	2034	J111	9116.231323088852	0.0
1080	1080	E440	9108.971086870515	0.0
2679	2679	L738	9063.358106606554	0.0
2052	2052	J159	9024.240500440357	0.0
198	198	B349	9021.43443883061	0.0
2952	2952	M2546	9017.660277424542	0.0
2962	2962	M2557	8964.205309548368	0.0
1877	1877	I518	8956.691996551779	0.0
1052	1052	E274	8928.096608923674	0.0
4199	4199	R229	8924.199844222261	0.0
1757	1757	I219	8910.366634113418	0.0
4205	4205	R238	8898.30162033165	0.0
2482	2482	K831	8851.036364874912	0.0
2063	2063	J209	8828.891274278869	0.0
2262	2262	K228	8823.648687945582	0.0
4180	4180	R190	8817.78190292581	0.0
464	464	C449	8802.43682761829	0.0
1833	1833	I440	8692.31019887345	0.0
3188	3188	M5430	8658.211403859226	0.0
2414	2414	K644	8652.428201862962	0.0
1521	1521	H028	8623.672946754894	0.0
2741	2741	L988	8575.095759931148	0.0
2121	2121	J440	8563.086153737899	0.0
3230	3230	M6283	8537.642709773614	0.0
2457	2457	K761	8506.693531564883	0.0
1125	1125	E781	8472.861048305283	0.0
1702	1702	H920	8471.288525142829	0.0
1103	1103	E611	8448.291405506388	0.0
587	587	C787	8405.391188630556	0.0
2625	2625	L539	8398.603137420325	0.0
291	291	B956	8383.017929441086	0.0
4366	4366	R894	8333.349370813825	0.0
4377	4377	R931	8311.857974549537	0.0
2577	2577	L270	8252.069434742796	0.0
1639	1639	H547	8246.03286337927	0.0
1801	1801	I348	8179.801154036293	0.0
2072	2072	J310	8156.396962381224	0.0
1982	1982	I829	8133.136284523514	0.0
1454	1454	G620	8112.959919586394	0.0
3472	3472	N058	8086.1793016191405	0.0
4139	4139	R011	8051.227408144073	0.0
3506	3506	N181	8047.11322863855	0.0
1990	1990	I871	8036.667389044005	0.0
1799	1799	I341	8031.016618534935	0.0
2850	2850	M1901	8017.079399760563	0.0
1804	1804	I351	7970.751928969625	0.0
2291	2291	K294	7946.224515821218	0.0
598	598	C799	7939.568661723027	0.0
1696	1696	H908	7854.964455980123	0.0
2705	2705	L853	7763.118806719949	0.0
3923	3923	Q211	7762.753896116759	0.0
3143	3143	M4806	7760.036771085175	0.0
1257	1257	F439	7745.117161510632	0.0
597	597	C798	7744.468072787385	0.0
3487	3487	N133	7707.304970791384	0.0
219	219	B378	7658.567888508134	0.0
2455	2455	K759	7621.5084442751895	0.0
1835	1835	I442	7604.042674170868	0.0
2295	2295	K298	7576.226912900023	0.0
1737	1737	I119	7549.543738723874	0.0
1138	1138	E839	7527.485696135783	0.0
1175	1175	F102	7502.83793953688	0.0
780	780	D235	7468.5584139462	0.0
4210	4210	R258	7427.328030196201	0.0
4375	4375	R92	7413.802594530342	0.0
3526	3526	N26	7265.827204911286	0.0
2181	2181	J980	7242.041983763836	0.0
1963	1963	I749	7206.800206359091	0.0
2958	2958	M2553	7201.757165141483	0.0
1034	1034	E222	7182.685617318621	0.0
3677	3677	N898	7175.043426184972	0.0
1865	1865	I494	7173.099902222289	0.0
1660	1660	H669	7139.799069194592	0.0
2843	2843	M179	7112.65466028726	0.0
4207	4207	R251	7101.2360716262865	0.0
4142	4142	R031	7100.7779615790005	0.0
289	289	B954	7059.93518932175	0.0
1723	1723	I071	7019.634416376795	0.0
2454	2454	K758	7016.256586870273	0.0
2409	2409	K639	6995.0287459823185	0.0
2653	2653	L659	6991.504814243992	0.0
2499	2499	K868	6959.2576048362125	0.0
2031	2031	J101	6921.331776986273	0.0
2045	2045	J151	6918.034485690039	0.0
2263	2263	K229	6912.19413692029	0.0
2372	2372	K579	6899.931532681123	0.0
3483	3483	N12	6892.17042567425	0.0
2271	2271	K259	6878.762485311381	0.0
61	61	A410	6829.006256258521	0.0
4162	4162	R091	6827.315399674299	0.0
1152	1152	E888	6820.915853882034	0.0
3315	3315	M7689	6813.528672974306	0.0
2359	2359	K560	6779.919359400508	0.0
3139	3139	M4802	6778.93373116033	0.0
1446	1446	G579	6757.4970339703395	0.0
220	220	B379	6752.103470931029	0.0
1726	1726	I079	6742.983771361961	0.0
3534	3534	N300	6734.538924459383	0.0
974	974	E041	6729.5205507367355	0.0
3336	3336	M7966	6709.179978369437	0.0
4202	4202	R232	6673.630017246238	0.0
718	718	D122	6672.263445423424	0.0
436	436	C349	6628.2282224587525	0.0
2109	2109	J398	6621.224421312047	0.0
67	67	A418	6605.95788006548	0.0
4265	4265	R470	6600.647089673935	0.0
1747	1747	I159	6581.3709056533535	0.0
11	11	A048	6523.341980475079	0.0
1005	1005	E115	6501.240137690803	0.0
2230	2230	K117	6499.766049928661	0.0
2147	2147	J848	6482.536616737086	0.0
1965	1965	I771	6449.431587132262	0.0
1755	1755	I213	6411.89620657141	0.0
4367	4367	R895	6356.2806422370295	0.0
927	927	D692	6356.186300361427	0.0
4171	4171	R12	6353.04898053737	0.0
1741	1741	I131	6336.5645202854075	0.0
991	991	E079	6322.143033324338	0.0
1128	1128	E784	6311.101006625299	0.0
3191	3191	M5440	6272.650276417422	0.0
