Index	Index	ICD10	Score	P-value
1152	1152	R000	1375.7539676770318	6.588824390673502e-301
291	291	I289	1324.3065776727217	9.594976529717321e-290
283	283	I270	1323.8115541582536	1.2287414045862177e-289
1049	1049	Q602	1312.8753435506262	2.901102227858355e-287
548	548	K761	1308.280015171383	2.8822996905145744e-286
955	955	Q289	1305.5537071760973	1.1255002576544557e-285
1140	1140	Q913	1301.6532766169114	7.902061005927086e-285
1127	1127	Q872	1288.2520430121945	6.3952184143138395e-282
941	941	Q259	1272.877244282419	1.387787289015073e-278
1214	1214	R509	1265.0022952552958	7.100529521569349e-277
327	327	I424	1259.6661619041388	1.0216809277671311e-275
771	771	P599	1252.2554318318566	4.1455065449917144e-274
233	233	H652	1236.0860905732961	1.3387175123660917e-270
924	924	Q241	1209.979443859508	6.203408432609686e-265
401	401	I959	1208.0666499050508	1.6135244397763574e-264
136	136	E872	1198.3269125626127	2.0973521671983532e-262
443	443	J380	1194.352166876975	1.528811513816456e-261
813	813	P90	1176.3840873719062	1.2140607978051793e-257
485	485	J986	1165.6229828457274	2.62995497367859e-255
772	772	P60	1160.6828854462162	3.106108099554904e-254
302	302	I340	1160.4637276782685	3.4656593948955956e-254
899	899	Q209	1158.5871116004487	8.853515708675108e-254
304	304	I342	1147.401710447799	2.371363978972765e-251
1201	1201	R451	1144.147590760385	1.2059821757581859e-250
755	755	P523	1133.6889441106389	2.246647430971944e-248
1153	1153	R001	1125.252026450526	1.5237622681158912e-246
956	956	Q300	1123.1052182775375	4.455788635669138e-246
716	716	P250	1121.2010869402352	1.1541325926717057e-245
695	695	P072	1115.1291237433452	2.400551343940615e-244
433	433	J210	1097.251943416599	1.8240692569098083e-240
1052	1052	Q605	1073.0160895488855	3.3289702604767595e-235
142	142	E878	1064.7100567968662	2.1158860887741442e-233
297	297	I313	1034.6457978851834	7.120086950215276e-227
881	881	Q178	1030.809207613943	4.846664751582875e-226
1235	1235	R69	1019.1252640283559	1.6679029674289343e-223
364	364	I509	1018.3963756993157	2.4011728245216734e-223
753	753	P521	1014.7349809809052	1.4975143260538468e-222
360	360	I495	1012.310946445255	5.0311945540750314e-222
402	402	I970	992.550571537865	9.819562113116876e-218
988	988	Q378	991.465038045498	1.6896275431463107e-217
985	985	Q373	987.372506839779	1.3073616529926939e-216
476	476	J9610	970.9409142995215	4.833251041235462e-213
358	358	I493	955.2856189418816	1.2123861203499063e-209
1268	1268	R943	948.8472711800601	3.031810331944091e-208
875	875	Q169	930.1502945256457	3.481672335135236e-204
1086	1086	Q674	927.9369678965757	1.0529978109290384e-203
254	254	H921	911.516608818782	3.8752559746285256e-200
234	234	H653	905.2695686460437	8.809544893094076e-199
307	307	I350	900.7012017255413	8.65099356259113e-198
447	447	J386	899.4684127745571	1.6024801079941323e-197
287	287	I279	894.0622178089935	2.392618062866893e-196
386	386	I743	887.437110179926	6.571880202828243e-195
365	365	I510	886.4325685656707	1.0860610056787582e-194
872	872	Q161	884.3332030788692	3.1030759654657755e-194
474	474	J9600	883.7588654745483	4.135489236798401e-194
673	673	P013	873.2786120890686	7.810081689410755e-192
744	744	P375	870.5966643298264	2.986325711085054e-191
974	974	Q339	866.8453291969174	1.9493109059595032e-190
54	54	B974	859.4506008052301	7.869499618645593e-189
315	315	I368	850.0196770647784	8.796259819238861e-187
1137	1137	Q901	845.6907096764853	7.665576229686953e-186
1251	1251	R845	845.1764393511254	9.913897090541976e-186
1032	1032	Q532	842.7497212327629	3.3367980308911394e-185
237	237	H669	834.6744885039677	1.893657312446997e-183
1179	1179	R14	830.4499461510107	1.5663991322851614e-182
987	987	Q375	829.7858122117785	2.1835241952459823e-182
834	834	P969	828.3756140861861	4.420444266078063e-182
1262	1262	R933	786.7927296429383	4.765995526945151e-173
456	456	J80	774.144768767449	2.665380318336615e-170
750	750	P398	773.6003060903123	3.4997642380394736e-170
889	889	Q188	772.3804205527596	6.442412948557986e-170
844	844	Q043	772.2330754710629	6.93518557916588e-170
585	585	L929	767.6130274262688	6.994115914578788e-169
256	256	I050	763.4261008751572	5.679707628545786e-168
1012	1012	Q419	758.9811809322754	5.247819523440136e-167
258	258	I059	750.1050391129385	4.449848984064662e-165
363	363	I501	744.9158862388904	5.966584880708299e-164
957	957	Q302	738.5595516150279	1.4345247893337076e-162
519	519	K409	733.9359917338279	1.4495807843022538e-161
759	759	P541	733.548691883627	1.759500778606856e-161
1244	1244	R788	717.668229895832	4.9631281621553865e-158
848	848	Q049	715.1165078444034	1.7790429222510836e-157
862	862	Q130	710.2186525012672	2.0624843198830547e-156
713	713	P243	700.0954506366071	3.2659327656975696e-154
571	571	L22	697.5905603655041	1.143647571582285e-153
977	977	Q351	685.8186059802872	4.13300175901135e-151
831	831	P962	679.5261705664728	9.629699829240306e-150
252	252	H919	679.0905951570404	1.1974692903766196e-149
1065	1065	Q639	677.9396316763081	2.1299641704467537e-149
408	408	J069	675.754901438853	6.3551163084305675e-149
1116	1116	Q792	660.9475857520416	1.0493172859333737e-145
758	758	P529	657.8445418748546	4.957362742329536e-145
1016	1016	Q428	655.5059261531874	1.5976296524229883e-144
691	691	P051	653.5936935889687	4.159521956292286e-144
851	851	Q068	646.7455276620348	1.28030250860323e-142
55	55	B978	645.5897202373072	2.2829715336169594e-142
847	847	Q048	642.7121074290842	9.635787428743973e-142
467	467	J948	639.9192433147115	3.898178058875986e-141
778	778	P615	639.8056088785564	4.126273627887918e-141
817	817	P916	639.7041662261393	4.3411493221912093e-141
1013	1013	Q421	635.7852021210892	3.0855015548272115e-140
842	842	Q040	633.2277070850023	1.1095855092817992e-139
480	480	J980	627.7921578282769	1.684677171015592e-138
669	669	P002	626.7213376834081	2.879056732239638e-138
141	141	E877	626.5564223746279	3.1267504757160474e-138
701	701	P101	623.6900772384002	1.3124219273427334e-137
353	353	I484	614.646745495306	1.2123331117960705e-135
1141	1141	Q917	613.2010466630977	2.499467992383479e-135
1230	1230	R638	611.9024992734588	4.787303638656072e-135
1144	1144	Q928	608.0295113218996	3.3258708570437854e-134
979	979	Q355	600.6861286594462	1.3123885746294085e-132
815	815	P911	599.2842533822237	2.6471530405102185e-132
1033	1033	Q539	598.8390023033895	3.307963871476194e-132
958	958	Q308	587.8839910056163	7.958708135656016e-130
736	736	P298	585.1607261308175	3.110372616059104e-129
521	521	K429	581.0891525569554	2.387167985717762e-128
244	244	H901	579.8395728308857	4.461871420578861e-128
398	398	I878	579.0438129072003	6.64508182732412e-128
1233	1233	R681	578.9790767038813	6.863929184310427e-128
332	332	I441	576.7576608752378	2.086748077563823e-127
231	231	H612	575.1762169337921	4.6052280836896e-127
355	355	I490	574.545938483154	6.313416204489863e-127
779	779	P616	570.1599559914134	5.67182003976127e-126
459	459	J860	562.0531796688168	3.2815622501497284e-124
1145	1145	Q929	560.9808998388246	5.612954537882497e-124
1087	1087	Q675	553.6980715073438	2.150245175182587e-122
1064	1064	Q638	553.2949137465034	2.631094592110504e-122
436	436	J219	549.8440313006361	1.4804085203205017e-121
1254	1254	R898	545.6428575861318	1.212719620241927e-120
720	720	P269	528.3703556684645	6.904986630202258e-117
110	110	E162	523.168379667583	9.337691109387075e-116
